entity1,entity2,trigger_word,relation_type,sentences
staphylococcusaureus aureus,skinlesions lesions,induce,Cause-Effect,"here , we proved that subcutaneous infection with mdr staphylococcus aureus induced skin lesions such as skeletal muscle damage , deep inflammation , and necrosis of the overlaying dermis in mice . "
neutrophilicinflammation inflammation,mycobacteriumtuberculosis tuberculosis,correlate,Cause-Effect,"neutrophilic inflammation correlates with severe tuberculosis tb , a disease caused by mycobacterium tuberculosis mtb . "
neutrophilicinflammation inflammation,mycobacteriumtuberculosis tuberculosis,cause,Cause-Effect,"neutrophilic inflammation correlates with severe tuberculosis tb , a disease caused by mycobacterium tuberculosis mtb . "
"tuberculosistb tb, ,a adisease disease",mycobacteriumtuberculosis tuberculosis,cause,Cause-Effect,"neutrophilic inflammation correlates with severe tuberculosis tb , a disease caused by mycobacterium tuberculosis mtb . "
acinetobacterbaumannii baumannii,immunocompromised,cause,Cause-Effect,acinetobacter baumannii is an opportunistic bacterial pathogen that causes severe infections in immunocompromised patients . 
salmonella,mucosalinflammation inflammation,utilize,Instrument-Agency,"a pathogen salmonella expands by utilizing 1 , 2 propanediol , a microbiota fermented product , during mucosal inflammation . "
gastroenteritis,campylobacterjejuni jejuni,cause,Cause-Effect,"acute diarrheal illness and gastroenteritis caused by campylobacter jejuni infection remain significant public health risks in developing countries with substantial mortality and morbidity in humans , particularly in children under the age of five . "
salmonella,diarrhea,cause,Cause-Effect,"nontyphoidal salmonella nts serovars typically cause inflammatory diarrhea in healthy individuals , and can cause bacteremia in immunocompromised patients , children , and the elderly . "
shigella,diarrhea,lead,Cause-Effect,the impact in under resourced countries was illustrated by a reanalysis of the global enteric multicenter study which found that shigella was the leading pathogen associated with moderate to severe diarrhea in children under 5 years old . 
shigella,diarrhea,lead,Cause-Effect,the impact in under resourced countries was illustrated by a reanalysis of the global enteric multicenter study which found that shigella was the leading pathogen associated with moderate to severe diarrhea in children under 5 years old . 
streptomyces,acutepromyelocytic promyelocyticleukemia leukemia,show,Cause-Effect,we showed that gcn b selective induced apoptosis of human acute promyelocytic leukemia apl cell line nb4 through increase of er stress and intracellular reactive oxygen species ros accumulation . 
streptomyces,acutepromyelocytic promyelocyticleukemia leukemia,induce,Cause-Effect,we showed that gcn b selective induced apoptosis of human acute promyelocytic leukemia apl cell line nb4 through increase of er stress and intracellular reactive oxygen species ros accumulation . 
clostridioidesdifficile difficile,diarrheaand andinflammation inflammationof ofthe thecolon colon,produce,Product-Producer,clostridioides difficile infection occurs when the bacterium produces toxin that causes diarrhea and inflammation of the colon . 
clostridioidesdifficile difficile,diarrheaand andinflammation inflammationof ofthe thecolon colon,cause,Cause-Effect,clostridioides difficile infection occurs when the bacterium produces toxin that causes diarrhea and inflammation of the colon . 
softtissue tissueinfections infectionsnsti nsti,streptococcuspyogenes pyogenes,cause,Cause-Effect,biofilm has recently been highlighted as a complicating feature of necrotizing soft tissue infections nsti caused by streptococcus pyogenes i . 
staphylococcusaureus aureus,chronicillnesses illnesses,cause,Cause-Effect,methicillin resistant staphylococcus aureus mrsa infections of surgically implanted subcutaneous vascular catheters sisvcs cause serious morbidity in patients with chronic illnesses . 
pseudomonasaeruginosa aeruginosa,nosocomialinfections infections,produce,Product-Producer,carbapenem resistant enterobacterales cre and pseudomonas aeruginosa cr pa producing metallo lactamases mbls cause severe nosocomial infections with no defined treatment . 
pseudomonasaeruginosa aeruginosa,nosocomialinfections infections,cause,Cause-Effect,carbapenem resistant enterobacterales cre and pseudomonas aeruginosa cr pa producing metallo lactamases mbls cause severe nosocomial infections with no defined treatment . 
fever,coxiellaburnetii burnetii,cause,Cause-Effect,"q fever , caused by the intracellular pathogen coxiella burnetii , is traditionally treated using tetracycline antibiotics , such as doxycycline . "
acinetobacterbaumannii baumannii,nosocomialinfections infections,cause,Cause-Effect,extremely drug resistant xdr acinetobacter baumannii causes challenging nosocomial infections . 
